#Path;Duration;#Points;#Scroll;#ScrollUp;#ScrollDown;#Clicks;#Movement;#Silents;Mean Silent;Std. Deviation Silent;Min Silent;Max Silent;Variance Silent;Skewness Silent;Kurtosis Silent;Flight Click beginning;Flight Click ending;Length Path;Weight Path;Direction Path;Mean Angle Incl.;Std. Deviation Angle Incl.;Min Angle Incl.;Max Angle Incl.;Variance Angle Incl.;Skewness Angle Incl.;Kurtosis Angle Incl.;Mode Angle Incl.;Mean Movement Speed;Std. Deviation Movement Speed;Min Movement Speed;Max Movement Speed.;Variance Movement Speed;Skewness Movement Speed;Kurtosis Movement Speed;Mode Movement Speed;Mean ScrollUp Speed;Std. Deviation ScrollUp Speed;Min ScrollUp Speed;Max ScrollUp Speed.;Variance ScrollUp Speed;Skewness ScrollUp Speed;Kurtosis ScrollUp Speed;Mode ScrollUp Speed;Mean ScrollDown Speed;Std. Deviation ScrollDown Speed;Min ScrollDown Speed;Max ScrollDown Speed.;Variance ScrollDown Speed;Skewness ScrollDown Speed;Kurtosis ScrollDown Speed;Mode ScrollDown Speed;UserID
79;27509;37;0;0;0;1;35;2;12934.5;7496.5;5438;20431;5.62E+07;0;0;79;0;911.3155968;104.4533387;-1;71.36259316;68.66004;0;174.8055711;4714.201093;30.34208366;-1.58802348;19.94902218;1.679727807;1.647327823;0;5.257435211;2.713688956;1.60409037;-0.286535296;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-2
80;106890;214;116;21;95;0;98;9;13849;17264.8945;2702;59912;2.98E+08;30784.36292;2.700510573;0;0;3346.159726;2639.398433;-1;34.62844534;46.67142699;0;175.9143832;2178.222097;54.03457831;0.417015465;135;2.358830055;2.38345633;0;11.89070599;5.680864079;3.952792751;2.43190989;0.004123072;2.171402502;2.114219314;0.001428571;6.939393939;4.469923309;1.809185335;-0.424006726;0.001428571;0.520681455;0.312075656;9.43E-04;1.242424242;0.097391215;-0.071458857;-0.955620505;9.43E-04;user-2
1;77512;332;328;316;12;1;3;4;21326;19573.07729;3925;53728;3.83E+08;12917.33891;-0.913001742;95;0;2127.042789;-3878.557641;1;2.996579648;17.44892652;0;148.8469707;304.4650365;104.9363636;37.00541196;139.7201369;0.12241963;0.104877176;0;0.256147778;0.010999222;0.011220866;-1.5;0.256147778;0.502534417;0.513452651;0.037037037;1.235294118;0.263633625;0.271588697;-1.500319606;0.037037037;0.276945739;0.179655421;0.025;0.515151515;0.03227607;0.019169514;-1.430865223;0.025;user-3
2;43639;120;49;0;49;0;71;6;7320.833333;3569.869205;3308;14008;1.27E+07;2511.93638;-0.60502299;0;0;1028.413574;-64.20233884;-1;54.1714854;66.81818988;0;178.6360725;4464.670499;46.67219375;-1.170029225;0;1.372144902;0.747370381;8.24E-04;3.288818409;0.558562487;0.049871173;-0.308056618;1.4;0;0;0;0;0;0;0;0;0.530833765;0.381324991;3.57E-04;1.636363636;0.145408749;0.256771438;0.743376497;3.57E-04;user-3
3;39572;91;69;0;69;0;21;8;5158.75;3301.194547;2667;13082;1.09E+07;4529.822074;1.268864719;0;0;246.6068499;42.93610668;1;28.35386819;49.0137883;0;168.6900675;2402.351443;65.23178345;0.274341531;0;0.225453705;0.270212976;3.75E-04;0.933333333;0.073015053;0.34737767;0.801817317;0.199068093;0;0;0;0;0;0;0;0;0.574279596;0.363332755;4.89E-04;1.821428571;0.132010691;0.237646221;0.986091206;4.89E-04;user-3
4;36876;63;62;0;62;0;1;4;8112;3775.240191;4363;13577;1.43E+07;1044.076133;-1.511565232;0;0;16.82842712;0.088390472;1;4.35483871;17.53990545;0;90;307.648283;71.48824712;16.27125164;45;2.92E-04;0;2.92E-04;2.92E-04;0;0;0;2.92E-04;0;0;0;0;0;0;0;0;0.985182445;0.970142385;2.07E-04;5.307692308;0.941176248;1.849417531;5.031097504;2.07E-04;user-3
5;70775;268;122;0;122;0;146;6;10928.33333;13224.3;2777;40112;1.75E+08;18627.0111;1.00817914;0;0;7073.797069;1508.730522;1;43.6208232;53.64607523;0;178.6677801;2877.901388;63.62099244;0.399208905;0;4.369339224;4.435818784;0;26.2488095;19.67648829;8.14998402;4.414754033;2.498979384;0;0;0;0;0;0;0;0;0.954095459;0.706342466;0.001350986;3;0.498919679;0.598258425;0.109253218;0.001350986;user-3
6;712;27;0;0;0;1;26;0;0;0;0;0;0;0;0;0;95;758.0365511;567.305106;1;104.6024671;62.86763932;0;175.9143832;3952.340073;-21.56971091;-1.413038235;142.1250163;1.397700295;0.608869384;0.010416667;2.657536453;0.370721926;-0.33874622;0.189986072;1.266861583;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
7;22184;86;0;0;0;1;85;2;10448;6080;4368;16528;3.70E+07;0;0;95;0;3349.656925;2906.345665;-1;87.79319849;50.3059496;0;177.1375948;2530.688566;13.69265736;-0.806793456;173.2901632;4.122760546;3.258633573;0;11.89143599;10.61869276;2.941262246;-0.099982788;0.237739483;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
8;21462;23;14;1;13;0;9;1;18450;0;18450;18450;0;0;0;0;0;430.6185625;107.0958953;1;18.8047352;42.92065115;0;165.9637565;1842.182295;98.8427127;4.605051817;0;1.521271011;1.534681821;0.167497927;5.25594901;2.355248291;2.146029409;1.553582514;1.454545455;0;0;0;0;0;0;0;0;0.627627505;0.462576603;0.00596206;1.382352941;0.213977114;0.061058941;-1.140261701;0.00596206;user-3
9;27990;307;134;65;69;0;172;3;7771;6074.416241;3394;16361;3.69E+07;2861.94191;-1.5;0;0;3847.775134;776.976517;-1;52.25969337;73.45754908;0;178.1221226;5396.011516;65.28275305;-1.03545687;0;2.408067519;1.819021987;0.002440637;7.62909726;3.308840991;1.449114802;-0.054910065;0.002440637;0.699511068;0.498952397;0.002071823;2.03030303;0.248953494;0.376518484;0.245238145;0.002071823;0.641871099;0.488624665;0.002578981;2.606060606;0.238754064;0.759587841;4.007519252;0.002578981;user-3
10;20468;24;0;0;0;0;24;2;10146;1719;8427;11865;2954961;0;0;0;0;1277.106136;-1032.423953;-1;71.9144607;21.39570198;0.392430709;99.3601908;457.7760634;-33.16248235;2.942131625;0.392430709;4.287104101;2.420201131;0;8.653936965;5.857373516;0.161446967;-0.790362375;0.034651341;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
11;24023;57;0;0;0;0;57;2;11600;4632;6968;16232;2.15E+07;0;0;0;0;1683.987554;368.8121586;-1;106.7596168;37.85018466;14.03624347;165.9637565;1432.636479;-17.23752772;-0.568858037;90;3.314484012;3.48132454;0;12.14369745;12.11962055;5.015986227;0.921537612;9.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
12;135509;49;0;0;0;0;48;1;134790;0;134790;134790;0;0;0;0;0;842.2189297;302.820737;-1;91.80650431;31.45019055;0;153.4349488;989.1144858;-25.96314809;0.917383243;59.03624347;1.727104478;1.512204864;0;6.208946803;2.286763551;2.322343277;1.658263237;1.457737974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
13;127522;8;7;0;7;0;1;2;63678;49462;14216;113140;2.45E+09;0;0;0;0;1348.203144;0;1;46.6902461;74.27602383;0;178.72697;5516.927716;62.94558492;-0.965437877;178.72697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.473813655;0.308467227;9.14E-04;0.84375;0.09515203;-0.083196953;-1.355904419;9.14E-04;user-3
14;37758;184;62;0;62;1;121;7;6892.571429;5498.707143;2201;19003;3.02E+07;6231.089963;0.52597165;0;52;1548.521946;-149.645663;-1;58.88885829;71.72152892;0;177.1375948;5143.97771;41.48619202;-1.452635942;0;0.861806197;0.699801465;5.75E-04;3.535533906;0.489722091;0.630297542;0.662122075;0.122827135;0;0;0;0;0;0;0;0;0.606830999;0.42608498;0.002138903;1.545454545;0.18154841;0.12313212;-0.66643306;0.002138903;user-3
15;14720;5;0;0;0;1;3;1;14088;0;14088;14088;0;0;0;52;0;35.69447166;4.722524228;-1;61.59265557;36.19019397;0;90;1309.73014;-28.23636681;-0.763884166;90;0.170705967;0.16049743;0;0.345167532;0.025759425;6.61E-04;-1.974985697;0.021428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
16;180001;52;0;0;0;0;51;3;59841;68853.02385;7386;157114;4.74E+09;32158.39598;-1.5;0;0;2534.59188;-137.2292671;1;83.79430078;30.94291379;0;178.5826616;957.4639139;18.52299918;1.304053891;48.74616205;5.0426618;8.199755729;0;50;67.23599402;31.49504878;16.89424269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
17;180001;2;0;0;0;0;1;1;180001;0;180001;180001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
1;511;4;0;0;0;2;2;0;0;0;0;0;0;0;0;1785;85;20;-0.244219191;-1;0;0;0;0;0;0;0;0;0.04113215;0.017794637;0.0234375;0.06547619;3.17E-04;0.006030412;-1.5;0.034482759;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
2;4176;98;0;0;0;2;96;0;0;0;0;0;0;0;0;85;99;2043.119272;-207.7376602;-1;91.81577391;72.04161739;0;177.9174347;5189.994636;-21.73644974;-1.7230547;137.6025622;2.121480566;1.85548435;0.011363636;9.551032521;3.442822171;2.548576808;1.931078989;0.039674934;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
3;800;22;0;0;0;2;20;0;0;0;0;0;0;0;0;99;111;255.0722091;-1.910944757;-1;135.1596531;47.57059566;0;175.6012946;2262.961572;-62.58971023;0.883860698;81.25383774;1.001015399;0.757568853;0.021627168;2.973213749;0.573910567;0.675655698;0.228804817;0.054803943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
4;36896;18;0;0;0;1;17;2;17564.5;15348.5;2216;32913;2.36E+08;0;0;111;0;1019.581058;-14.60493144;-1;110.466077;41.50665592;5.710593137;159.1036869;1722.802486;-52.76076395;0.807210923;130.3381269;0.317138785;0.174725053;0;0.560567669;0.030528844;-0.059911944;-1.061461537;0.133308671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
5;27823;142;49;24;25;0;93;2;10944.5;2783.5;8161;13728;7747872.25;0;0;0;0;3090.123604;-5876.958547;1;69.06620992;58.69202537;0;176.4236656;3444.753842;-0.594316672;-1.489839665;109.179008;2.836129971;3.81025689;0;16.64754111;14.51805757;7.720996136;3.496228336;3.478798761;1.527628846;1.44335042;0.005;5.147058824;2.083260434;1.814225873;0.802420208;0.005;1.465241851;0.971251563;0.088235294;3.212121212;0.943329598;0.229950756;-1.027052649;0.088235294;user-3
6;20136;88;44;21;23;0;44;3;5904.333333;4628.105468;2145;12424;2.14E+07;2105.717002;-1.5;0;0;3089.632948;1803.10462;-1;61.74596816;57.54973205;0;179.5225462;3311.971659;9.26502331;-1.567681121;42.8789036;3.900755219;3.304212812;0;12.28322234;10.9178223;1.807263629;-0.247158751;1.910497317;1.276765356;0.841240558;0.176470588;2.764705882;0.707685677;0.387665034;-0.868367749;0.176470588;1.168768333;0.597231457;0.181818182;2.151515152;0.356685413;0.091817144;-0.960569016;0.181818182;user-3
7;17992;259;47;14;33;1;211;3;3049;776.9302843;2423;4144;603620.6667;355.0634228;-1.5;0;80;6889.937059;4592.277016;1;79.23114128;54.22537982;0;173.6598083;2940.391816;-6.194088822;-1.285051967;135;2.980433063;3.645761383;0.002751389;26.92582404;13.29157606;9.119422103;9.31683634;1.285648693;2.631271331;1.736764346;0.46;5.529411765;3.016350392;0.512720725;-1.243543102;0.46;1.007084953;0.783332581;0.038251366;3.62;0.613609932;1.185446953;3.268992596;0.038251366;user-3
8;31003;38;11;6;5;1;25;1;28186;0;28186;28186;0;0;0;80;0;892.5589073;961.3219349;-1;75.91215374;46.64446202;0;168.6900675;2175.705837;-11.11383531;-0.780664982;37.1466867;1.931521823;2.288929956;0;7.55902698;5.239200343;2.166331177;-0.415268948;0.023725205;2.187834225;0.657159981;1.5;2.96969697;0.43185924;0.027030595;-1.914335936;1.5;0;0;0;0;0;0;0;0;user-3
9;63055;70;6;5;1;0;64;2;30891.5;20866.5;10025;51758;4.35E+08;0;0;0;0;1295.775373;-1158.733858;-1;91.43362533;43.98004892;0;177.1375948;1934.244703;-25.65766174;-0.524297662;156.2796044;1.724390981;3.404744309;0;27.24426545;11.59228381;22.77420675;47.94231375;0;0.806149733;0.012032086;0.794117647;0.818181818;1.45E-04;0;0;0.794117647;0;0;0;0;0;0;0;0;user-3
10;116945;88;0;0;0;0;87;3;37905.33333;45099.08455;5696;101684;2.03E+09;21256.70134;-1.5;0;0;2655.243215;-1238.281415;1;77.92620602;34.84717898;0;147.7243557;1214.325883;-11.75326987;-0.055723287;60.2551187;3.141002958;2.19640308;0;8.54491808;4.824186488;1.845399482;0.006921055;0.044056053;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
11;110547;165;86;45;41;0;79;8;13614.625;19163.24848;2389;58010;3.67E+08;25743.61824;0.760641504;0;0;2520.929756;6544.654781;-1;56.22637757;60.23105012;0;178.1523897;3627.779398;32.09168022;-1.106288958;159.2277453;2.908199455;4.865485791;0;34.7453594;23.67295199;19.23758504;21.6596629;0;0.932322858;0.596237162;0.00305499;2.163265306;0.355498753;0.208270838;-0.930581068;0.00305499;0.874750921;0.654601196;0.005012531;3.048192771;0.428502725;0.791786052;1.760189153;0.005012531;user-3
12;20768;101;26;10;16;0;75;3;7260;3126.053849;4733;11665;9772212.667;1426.141356;-1.5;0;0;1948.258395;1469.40518;1;90.72561369;62.9606014;0;179.0808952;3964.037329;-17.81113793;-1.239244495;144.2461127;2.419004046;3.499822167;0;16.81228899;12.2487552;8.556505795;5.855887013;10.26861453;2.967245989;2.159162363;0.090909091;6.515151515;4.661982111;0.579773027;-1.319164414;0.090909091;2.032456922;1.235386363;0.323529412;3.787878788;1.526179465;0.002641813;-1.526424714;0.323529412;user-3
13;12463;9;7;0;7;0;2;1;10901;0;10901;10901;0;0;0;0;0;11.40175425;0;1;6.515627044;17.23872879;0;52.12501635;297.1737704;34.20704198;3.142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.943038649;0.388778227;0.393939394;1.424242424;0.151148509;-0.029641246;-1.434309832;0.393939394;user-3
14;36223;2;0;0;0;0;1;1;36223;0;36223;36223;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
15;118240;3;0;0;0;0;3;2;59120;19279;39841;78399;3.72E+08;0;0;0;0;22.64686212;0;-1;64.15436778;9.146387982;55.0079798;73.30075577;83.65641312;0;0;73.30075577;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
16;52256;3;0;0;0;0;3;1;52200;0;52200;52200;0;0;0;0;0;20.92577595;-0.606050075;1;125.1202646;6.065660533;119.0546041;131.1859252;36.79223771;0;0;119.0546041;0.091925269;0.091925269;0;0.183850538;0.008450255;0;0;0.183850538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
17;9504;2;0;0;0;0;1;1;9504;0;9504;9504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
18;42408;4;0;0;0;0;4;2;20388;812;19576;21200;659344;0;0;0;0;31.40867515;-0.007657604;1;106.6035287;4.283662262;101.3099325;111.8014095;18.34976238;-0.095683644;-1.5;101.3099325;0.002132416;0.003015691;0;0.006397247;9.09E-06;0.00142161;-1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
19;59449;138;53;0;53;0;85;9;9055;7910.902182;2037;27679;6.26E+07;9510.518339;0.695580432;0;0;3112.615161;-409.5670566;-1;59.99887188;58.10181215;0;178.8163713;3375.820575;17.27176933;-1.492355207;148.3924978;2.522231621;3.697549956;0;21.26029163;13.67187568;11.07314527;10.7176683;0.001612884;0;0;0;0;0;0;0;0;0.952867382;1.040187972;3.16E-04;5.090909091;1.081991017;2.359646481;5.384242861;3.16E-04;user-3
20;7742;163;22;10;12;1;140;1;2103;0;2103;2103;0;0;0;0;93;4142.453561;2287.501115;1;112.4587289;53.27827288;0;174.8055711;2838.574361;-71.8961903;0.343994152;114.4439548;2.354923903;2.020663252;0.022097087;13.03840481;4.083079979;4.271905319;6.346491363;1.726149425;5.391142191;1.430306069;2.939393939;7;2.045775452;-0.69136084;-0.847893328;2.939393939;1.503717485;1.065660486;0.101648352;2.909090909;1.135632272;-0.098620955;-1.566948029;0.101648352;user-3
21;27501;21;1;0;1;1;19;1;26825;0;26825;26825;0;0;0;93;0;1031.117493;-167.4364771;1;119.0965666;41.08512269;0;178.5930181;1687.987306;-71.19470251;2.84222253;90;1.350727784;0.96323829;0;3.324478033;0.927828003;0.312066161;-0.958225949;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;user-3
